run	t_period
3.530000000000000e+02	9.833806e-01
3.540000000000000e+02	1.015214e+00
3.550000000000000e+02	9.586309e-01
3.560000000000000e+02	9.984065e-01
3.570000000000000e+02	1.020108e+00
3.580000000000000e+02	1.016890e+00
3.590000000000000e+02	9.755714e-01
3.600000000000000e+02	9.568343e-01
3.610000000000000e+02	9.878832e-01
3.620000000000000e+02	1.027089e+00
3.630000000000000e+02	9.473684e-01
3.640000000000000e+02	9.535520e-01
3.650000000000000e+02	1.004242e+00
3.660000000000000e+02	9.726334e-01
3.670000000000000e+02	1.023666e+00
3.680000000000000e+02	1.024996e+00
3.690000000000000e+02	9.751999e-01
3.700000000000000e+02	9.555381e-01
3.710000000000000e+02	1.016198e+00
3.720000000000000e+02	9.950597e-01
3.730000000000000e+02	1.028736e+00
3.740000000000000e+02	1.018671e+00
3.750000000000000e+02	9.471309e-01
3.760000000000000e+02	1.010553e+00
3.770000000000000e+02	1.009657e+00
3.780000000000000e+02	9.593027e-01
3.790000000000000e+02	1.010327e+00
3.800000000000000e+02	1.001846e+00
3.810000000000000e+02	1.043016e+00
3.820000000000000e+02	9.623412e-01
3.830000000000000e+02	1.014989e+00
3.840000000000000e+02	1.021341e+00
3.850000000000000e+02	1.019292e+00
3.860000000000000e+02	9.407352e-01
3.870000000000000e+02	9.934800e-01
3.880000000000000e+02	1.019972e+00
3.890000000000000e+02	9.710361e-01
3.900000000000000e+02	9.465472e-01
3.910000000000000e+02	1.041925e+00
3.920000000000000e+02	9.520731e-01
3.930000000000000e+02	9.483107e-01
3.940000000000000e+02	9.486744e-01
3.950000000000000e+02	1.007121e+00
3.960000000000000e+02	9.478357e-01
3.970000000000000e+02	9.819507e-01
3.980000000000000e+02	1.021637e+00
3.990000000000000e+02	1.016747e+00
4.000000000000000e+02	1.030572e+00
4.010000000000000e+02	1.003888e+00
4.020000000000000e+02	9.929069e-01
4.030000000000000e+02	1.004527e+00
4.040000000000000e+02	9.644359e-01
4.050000000000000e+02	9.859354e-01
4.060000000000000e+02	9.776229e-01
4.070000000000000e+02	9.751282e-01
4.080000000000000e+02	9.862307e-01
4.090000000000000e+02	9.558735e-01
4.100000000000000e+02	9.580672e-01
4.110000000000000e+02	1.028816e+00
4.120000000000000e+02	9.922985e-01
4.130000000000000e+02	1.003291e+00
4.140000000000000e+02	9.664817e-01
4.150000000000000e+02	9.702222e-01
4.160000000000000e+02	9.830229e-01
4.170000000000000e+02	9.536858e-01
4.180000000000000e+02	9.562496e-01
4.190000000000000e+02	1.011069e+00
4.200000000000000e+02	1.027945e+00
4.210000000000000e+02	9.721716e-01
