time	V(vout)
Step Information: Run=0  (Step: 1/9)
1.008655762512463e+00	3.298445e+00
1.008741834850631e+00	3.298445e+00
1.008913979526967e+00	3.298446e+00
1.009258268879638e+00	3.298447e+00
1.009946847584980e+00	3.298448e+00
1.011324004995664e+00	3.298452e+00
1.014078319817033e+00	3.298459e+00
1.017008007317033e+00	3.298467e+00
1.019937694817033e+00	3.298475e+00
1.022867382317033e+00	3.298482e+00
1.025797069817033e+00	3.298490e+00
1.028726757317033e+00	3.298497e+00
1.031656444817033e+00	3.298505e+00
1.034586132317033e+00	3.298512e+00
1.037515819817033e+00	3.298519e+00
1.040445507317033e+00	3.298527e+00
1.043375194817033e+00	3.298534e+00
1.046304882317033e+00	3.298541e+00
1.049234569817033e+00	3.298548e+00
1.052164257317033e+00	3.298555e+00
1.055093944817033e+00	3.298562e+00
1.058023632317033e+00	3.298569e+00
1.060953319817033e+00	3.298576e+00
1.063883007317033e+00	3.298583e+00
1.066812694817033e+00	3.298589e+00
1.069742382317033e+00	3.298596e+00
1.072672069817033e+00	3.298603e+00
1.075601757317033e+00	3.298609e+00
1.078531444817033e+00	3.298616e+00
1.081461132317033e+00	3.298623e+00
1.084390819817033e+00	3.298629e+00
1.087320507317033e+00	3.298635e+00
1.090250194817033e+00	3.298642e+00
1.093179882317033e+00	3.298648e+00
1.096109569817033e+00	3.298655e+00
1.099039257317033e+00	3.298661e+00
1.101968944817033e+00	3.298667e+00
1.104898632317033e+00	3.298673e+00
1.107828319817033e+00	3.298679e+00
1.110758007317033e+00	3.298686e+00
1.113687694817033e+00	3.298692e+00
1.116617382317033e+00	3.298697e+00
1.119547069817033e+00	3.298703e+00
1.122476757317033e+00	3.298709e+00
1.125406444817033e+00	3.298715e+00
1.128336132317033e+00	3.298721e+00
1.131265819817033e+00	3.298727e+00
1.134195507317033e+00	3.298733e+00
1.137125194817033e+00	3.298738e+00
1.140054882317033e+00	3.298744e+00
1.142984569817033e+00	3.298749e+00
1.145914257317033e+00	3.298755e+00
1.148843944817033e+00	3.298761e+00
1.151773632317033e+00	3.298766e+00
1.154703319817033e+00	3.298772e+00
1.157633007317033e+00	3.298777e+00
1.160562694817033e+00	3.298782e+00
1.163492382317033e+00	3.298788e+00
1.166422069817033e+00	3.298793e+00
1.169351757317033e+00	3.298799e+00
1.172281444817033e+00	3.298804e+00
1.175211132317033e+00	3.298809e+00
1.178140819817033e+00	3.298814e+00
1.181070507317033e+00	3.298819e+00
1.184000194817033e+00	3.298824e+00
1.186929882317033e+00	3.298829e+00
1.189859569817033e+00	3.298834e+00
1.192789257317033e+00	3.298839e+00
1.195718944817033e+00	3.298844e+00
1.198648632317033e+00	3.298849e+00
1.201578319817033e+00	3.298854e+00
1.204508007317033e+00	3.298859e+00
1.207437694817033e+00	3.298863e+00
1.210367382317033e+00	3.298868e+00
1.213297069817033e+00	3.298873e+00
1.216226757317033e+00	3.298878e+00
1.219156444817033e+00	3.298882e+00
1.222086132317033e+00	3.298887e+00
1.225015819817033e+00	3.298892e+00
1.227945507317033e+00	3.298896e+00
1.230875194817033e+00	3.298901e+00
1.233804882317033e+00	3.298905e+00
1.236734569817033e+00	3.298910e+00
1.239664257317033e+00	3.298914e+00
1.242593944817033e+00	3.298918e+00
1.245523632317033e+00	3.298923e+00
1.248453319817033e+00	3.298927e+00
1.251383007317033e+00	3.298932e+00
1.254312694817033e+00	3.298936e+00
1.257242382317033e+00	3.298940e+00
1.260172069817033e+00	3.298944e+00
1.263101757317033e+00	3.298949e+00
1.266031444817033e+00	3.298952e+00
1.268961132317033e+00	3.298957e+00
1.271890819817033e+00	3.298961e+00
1.274820507317033e+00	3.298965e+00
1.277750194817033e+00	3.298969e+00
1.280679882317033e+00	3.298973e+00
1.283609569817033e+00	3.298977e+00
1.286539257317033e+00	3.298981e+00
1.289468944817033e+00	3.298985e+00
1.292398632317033e+00	3.298989e+00
1.295328319817033e+00	3.298992e+00
1.298258007317033e+00	3.298996e+00
1.301187694817033e+00	3.299000e+00
